Time	ms	Pane1-EM102A_flow	Pane1-EM102A_power	Pane1-EM102A_retTemp	Pane1-EM102A_suppTemp	Pane1-PT102A1_pv	Pane1-PT102A2_pv
45358.381944444445253	0	6,144.0078418	13,837.185731	11.9191096	5.085281	4.06058	5.7560699
45358.388888888890506	0	6,132.1295728	13,953.935102	11.9708791	5.1011075	4.06516	5.75622
45358.395833333335759	0	6,127.0806149	14,122.215917	12.0260323	5.1005071	4.06096	5.75744
45358.402777777781012	0	6,096.2274119	14,009.7026885	12.0670842	5.1061038	4.05368	5.7575799
45358.409722222218988	0	6,042.1811158	13,811.3218535	12.1087597	5.1324478	4.05599	5.7483099
45358.416666666664241	0	6,079.0018726	13,820.316795	12.1358137	5.1337438	4.05315	5.7439
45358.423611111109494	0	6,195.4329197	14,071.173086	12.152189	5.1286016	4.04514	5.7452601
45358.430555555554747	0	6,177.2455641	14,439.2890805	12.1789693	5.1395916	4.04293	5.73858
45358.4375	0	6,172.6925808	14,351.4290955	12.2125881	5.139809	4.04084	5.73606
45358.444444444445253	0	6,107.5940159	14,158.8516055	12.2455905	5.1439973	4.03384	5.7338699
45358.451388888890506	0	6,141.9336914	14,396.80403	12.2673537	5.1535635	4.03363	5.72768
45358.458333333335759	0	6,207.3880226	14,560.6094535	12.2807791	5.1478071	4.03579	5.72744
45358.465277777781012	0	6,115.0294211	14,414.3802205	12.28512	5.1477143	4.03174	5.73396
45358.472222222218988	0	6,034.9265112	14,168.098613	12.2934785	5.1554263	4.03097	5.7300799
45358.479166666664241	0	6,051.5989869	14,210.6722115	12.2969241	5.1519467	4.03379	5.7264199
45358.486111111109494	0	6,021.7487646	14,277.7831925	12.2923196	5.1528308	4.02758	5.7294799
45358.493055555554747	0	6,011.2120267	14,272.735514	12.297603	5.1673645	4.0256999	5.72576
45358.5	0	6,102.8175881	14,506.681944	12.2981884	5.1655135	4.0335399	5.72689
45358.506944444445253	0	6,109.1623635	14,420.500866	12.2918216	5.1719259	4.0365799	5.73931
45358.513888888890506	0	6,064.2573709	14,229.5844445	12.2987044	5.2052588	4.04319	5.74009
45358.520833333335759	0	6,135.3833717	14,396.4467115	12.3215847	5.2282255	4.05055	5.7370599
45358.527777777781012	0	6,140.4098826	14,453.7286125	12.3327082	5.2319148	4.04325	5.73914
45358.534722222218988	0	6,087.0537889	14,348.0779	12.3232374	5.2332097	4.04256	5.73692
45358.541666666664241	0	6,106.2310987	14,396.6635215	12.3255245	5.2361776	4.05495	5.7383501
45358.548611111109494	0	6,054.4859255	14,227.697326	12.3460615	5.2446001	4.05412	5.7462901
45358.555555555554747	0	6,022.1125195	14,247.444484	12.3920522	5.2742943	4.05146	5.74887
45358.5625	0	6,103.5087522	14,491.2356425	12.4357093	5.3077809	4.0570899	5.74443
45358.569444444445253	0	6,104.4382812	14,440.418348	12.4571049	5.327184	4.05472	5.74094
45358.576388888890506	0	6,070.1484642	14,355.4172385	12.4814281	5.3444663	4.04963	5.7393001
45358.583333333335759	0	6,038.2918088	14,282.1772295	12.4970968	5.3510087	4.05157	5.73182
45358.590277777781012	0	6,034.9537256	14,359.405578	12.5126219	5.3402401	4.05183	5.73111
45358.597222222218988	0	6,031.2736208	14,387.8979275	12.5412085	5.3445273	4.04653	5.7339199
45358.604166666664241	0	6,003.151279	14,321.225659	12.568317	5.3696056	4.04738	5.73093
45358.611111111109494	0	6,072.3581026	14,519.0534225	12.6013948	5.3863183	4.05204	5.72791
45358.618055555554747	0	6,119.3309616	14,669.1388945	12.6275857	5.3936922	4.04265	5.72946
45358.625	0	6,120.7321115	14,667.739752	12.6509838	5.4193729	4.03989	5.72853
45358.631944444445253	0	6,074.0678613	14,548.6921225	12.6750662	5.4471352	4.05002	5.7284699
45358.638888888890506	0	6,046.15885	14,536.8142895	12.6874588	5.4323733	4.05141	5.7300599
45358.645833333335759	0	6,123.2143482	14,828.08564	12.6934114	5.385591	4.04737	5.7328599
45358.652777777781012	0	6,084.8696048	14,752.2062185	12.6961842	5.381317	4.04912	5.7307999
45358.659722222218988	0	6,051.3538578	14,608.4876975	12.694312	5.410168	4.05337	5.7281099
45358.666666666664241	0	6,120.0145388	14,686.349605	12.6898469	5.4477275	4.0518299	5.73335
45358.673611111109494	0	6,092.8132496	14,514.64925	12.7020921	5.5122242	4.0473	5.73558
45358.680555555554747	0	6,076.1636769	14,407.9403085	12.7293745	5.5713874	4.0473701	5.7351301
45358.6875	0	6,042.5746801	14,377.324899	12.7670359	5.5860207	4.04313	5.7396101
45358.694444444445253	0	5,982.3498508	14,301.7703545	12.7958721	5.5813821	4.03899	5.7354201
45358.701388888890506	0	6,097.6135569	14,595.860369	12.8035495	5.5800443	4.0442001	5.7255
45358.708333333335759	0	6,132.1492014	14,744.1864625	12.8149041	5.558634	4.04298	5.7270999
45358.715277777781012	0	6,100.232827	14,763.89334	12.8278714	5.5244004	4.03673	5.72968
45358.722222222218988	0	6,039.913987	14,687.6571825	12.8261834	5.4871535	4.02997	5.72448
45358.729166666664241	0	5,986.3130836	14,729.3453525	12.8207033	5.3947099	4.02111	5.71569
45358.736111111109494	0	6,071.992732	15,170.352414	12.8224555	5.2818977	4.00256	5.71338
45358.743055555554747	0	6,079.1009476	15,255.0868745	12.770855	5.2026131	3.99233	5.71877
45358.75	0	6,010.0148903	15,028.0603005	12.6661168	5.1258374	3.99702	5.7278
45358.756944444445253	0	6,014.429917	15,058.7991125	12.6491891	5.0953398	3.9965401	5.7378201
45358.763888888890506	0	5,992.3906227	14,970.5077245	12.6579328	5.1254219	4.0006101	5.7433501
45358.770833333335759	0	5,989.3185743	14,884.707524	12.6010696	5.1050118	3.99706	5.7484201
45358.777777777781012	0	6,067.3851608	14,989.210791	12.5435445	5.0861121	4.00068	5.7517
45358.784722222218988	0	6,118.5474264	15,050.1177365	12.5055062	5.0805284	4.00428	5.7577101
45358.791666666664241	0	6,116.0038133	15,004.183386	12.463088	5.0601995	3.99972	5.7718901
45358.798611111109494	0	6,035.6896484	14,776.4891765	12.4123003	5.0251894	3.9948399	5.78085
45358.805555555554747	0	5,991.4837744	14,600.2004665	12.36205	5.0094677	3.98978	5.7797299
45358.8125	0	5,981.5762401	14,493.1505155	12.3035877	4.9922675	3.9961599	5.77878
45358.819444444445253	0	5,975.3434933	14,401.5313115	12.2540245	4.9808974	3.99695	5.7847501
45358.826388888890506	0	5,975.0303318	14,320.8823435	12.2192931	4.9872705	4.00163	5.7805501
45358.833333333335759	0	5,974.2018678	14,266.1967625	12.1852455	4.9802417	4.00629	5.78645
45358.840277777781012	0	6,030.929517	14,339.742149	12.1547447	4.9806463	4.00201	5.7942099
45358.847222222218988	0	6,064.2289575	14,389.888392	12.1425792	4.9830205	4.00902	5.78267
45358.854166666664241	0	5,972.0661985	14,209.0988115	12.1387912	4.9601171	4.0072199	5.78809
45358.861111111109494	0	5,980.0734763	14,155.4216805	12.1134321	4.9713677	4.00998	5.7864699
45358.868055555554747	0	6,064.4289426	14,275.0205825	12.0659293	4.9645234	4.01459	5.7858399
45358.875	0	6,016.2629419	14,096.926612	12.0277124	4.9587707	4.01208	5.79279
